Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2017-09-01,13217,"Newton, GA",631,,214100,0.0104,0.3167,883,0.0315,0.0888,66,0.0645,0.1186,250,-0.1379,-0.0876,80,-0.1111,1.5,186,-0.0792,0.1481,147,0.05,0.4135,243300,0.0054,0.1069,1030,0.0341,0.1257,0.1665,0.0029,0.0382
2017-09-01,13095,"Dougherty, GA",632,,111000,0.0725,0.2486,396,0,-0.2667,100,-0.0291,-0.1803,70,-0.125,-0.1026,4,,1,58,-0.0645,-0.3696,6,-0.6842,2,141300,0.0374,0.2741,402,-0.0313,-0.2583,0.0152,-0.0328,0.0114
2017-09-01,6045,"Mendocino, CA",633,,576000,0.0482,0.0492,460,-0.0275,-0.0945,93,0.1341,-0.1468,88,-0.1373,0.1579,4,-0.3333,1,74,-0.2292,-0.2128,68,0.0462,-0.0423,832500,0.0229,-0.0162,528,-0.0186,-0.0881,0.1478,0.0104,0.0081
2017-09-01,1083,"Limestone, AL",634,,225900,0.0226,0.0502,695,-0.0197,-0.1451,79,0.0395,-0.21,136,-0.2093,-0.0286,58,0.8125,2.2222,176,0.0864,0.0476,0,,,255500,0.0171,0.0311,695,-0.0197,-0.1451,0,0,0
2017-09-01,41033,"Josephine, OR",635,,351300,-0.0242,0.0613,477,-0.0647,0.0021,71,0.0597,-0.1235,120,-0.2593,-0.1549,6,,-0.25,140,-0.1358,0.6279,3,,0.5,525600,-0.0096,0.067,480,-0.0588,0.0042,0.0063,0.0063,0.0021
2017-09-01,13115,"Floyd, GA",636,,173500,-0.0086,0.2091,603,-0.0033,-0.0489,67,0.0984,-0.2299,156,0.0685,0.2581,2,-0.6667,,114,-0.1231,0.0755,64,-0.0154,1,235400,-0.2977,0.1356,667,-0.0045,0.0015,0.1061,-0.0013,0.0557
2017-09-01,55089,"Ozaukee, WI",637,,372000,-0.0208,0.0944,477,-0.0265,-0.0665,57,0.0556,-0.1364,122,-0.1408,0.3556,2,-0.5,0,110,-0.0179,0.1,0,,,465400,-0.0039,0.0828,477,-0.0265,-0.0665,0,0,0
2017-09-01,39055,"Geauga, OH",638,,315000,-0.0156,0.1254,478,-0.044,-0.1049,79,0.1286,-0.0814,94,-0.2167,-0.0784,2,0,0,100,-0.2063,-0.0741,65,-0.0299,,375100,-0.0066,-0.004,543,-0.0423,0.0169,0.136,0.002,0.136
2017-09-01,48037,"Bowie, TX",639,,151800,0.0188,0.0033,426,0.0167,0.1933,69,0.0455,-0.2737,92,-0.1481,0.3529,0,-1,-1,70,0.0606,0.0938,1,0,0,196800,0.0155,-0.0277,427,0.0167,0.1927,0.0023,0,-0.0005
2017-09-01,36079,"Putnam, NY",640,,449000,0.0394,0.191,733,-0.0381,-0.1387,86,0.1026,-0.1134,144,-0.1,0.0141,2,-0.6667,-0.6667,118,-0.2976,-0.2338,21,-0.2222,-0.0455,626800,0.0055,0.2464,754,-0.0444,-0.1363,0.0286,-0.0068,0.0028
